9.68,8.60
4.64,3.33
8.51,5.92
5.66,1.67
2.65,2.53
3.13,9.12
2.88,7.46
4.21,9.72
7.09,9.47
8.46,9.32
3.56,1.60
9.55,4.16
3.74,1.23
4.16,3.81
9.42,2.94
0.49,7.75
1.41,3.79
3.30,8.95
8.23,7.82
9.06,0.94
9.62,1.59
3.00,5.98
3.37,0.14
8.69,8.88
5.99,0.73
4.76,9.61
4.11,0.18
3.97,1.47
7.68,0.22
2.35,5.79
5.99,1.78
9.74,1.39
5.38,3.64
7.27,3.70
7.65,1.60
8.95,0.36
4.08,4.08
6.52,3.17
4.01,5.85
2.90,7.86
4.42,9.01
9.40,9.36
4.68,5.04
9.32,2.43
2.63,5.58
9.57,1.87
0.60,5.13
0.35,6.07
5.58,0.62
2.56,0.59
3.13,3.92
3.10,6.62
7.92,9.24
1.67,1.03
1.39,2.11
0.05,3.21
0.14,2.80
9.93,6.38
5.69,0.97
4.02,0.82
7.37,2.88
4.50,4.84
4.38,8.82
3.71,7.82
5.40,5.33
2.12,3.52
0.11,4.30
9.92,8.19
9.57,4.61
3.96,5.78
2.35,8.33
5.47,2.22
4.36,3.16
5.35,8.35
0.06,4.24
2.27,4.31
6.58,6.21
1.15,9.95
0.69,2.00
9.41,7.23
6.11,7.51
0.92,1.81
5.49,9.28
4.10,5.10
4.66,7.09
8.85,4.00
7.27,2.33
5.28,8.80
6.53,6.63
5.38,0.87
7.04,5.51
7.05,3.76
5.27,6.90
8.55,6.87
9.48,1.91
2.74,9.58
7.49,2.29
8.56,8.85
0.55,5.82
0.82,0.60
7.60,9.28
0.29,3.84
1.16,2.27
9.68,5.54
1.05,8.92
5.90,6.97
8.52,8.37
3.35,4.97
1.54,8.72
7.77,7.23
0.82,9.03
1.63,4.75
4.56,9.45
9.18,4.11
3.82,7.69
8.68,4.53
5.06,1.85
7.05,7.88
3.31,0.15
1.97,3.31
1.69,7.58
2.35,0.94
4.31,9.00
1.63,3.36
1.80,2.51
6.77,3.23
9.33,2.34
8.53,2.98
0.04,8.25
2.45,8.91
9.38,7.33
5.30,7.15
6.52,2.02
6.46,2.90
2.74,6.18
6.08,5.52
2.32,3.40
3.16,8.00
1.08,2.00
6.38,1.28
0.90,7.33
2.61,0.37
6.63,6.54
3.09,1.43
2.59,2.57
9.56,1.16
7.30,6.22
5.52,1.75
9.42,9.06
7.93,4.92
8.38,3.80
3.02,7.70
0.99,7.38
8.27,9.41
1.83,8.96
1.22,1.41
2.15,8.09
8.50,8.25
8.72,3.13
9.06,3.41
9.17,8.41
7.84,8.95
1.47,6.49
6.54,3.45
3.50,1.93
9.88,5.30
9.74,3.88
5.30,7.62
5.42,4.66
9.83,6.66
2.76,5.46
6.85,9.35
3.29,3.08
0.37,8.74
3.15,3.56
5.41,5.47
4.26,7.36
3.36,1.49
1.47,5.70
7.66,2.07
4.05,5.67
1.81,2.43
3.71,3.53
8.15,8.31
9.73,6.22
8.15,3.40
0.76,5.06
4.88,9.78
4.14,2.20
5.49,0.92
7.42,4.59
8.42,1.74
6.30,0.78
4.84,1.09
3.81,7.61
2.92,2.76
7.18,5.29
5.63,3.45
0.42,6.56
5.31,2.47
6.27,9.30
0.37,7.96
5.40,1.27
3.48,3.00
7.83,5.15
8.21,3.39
5.93,3.05
0.65,1.84
9.58,1.02
9.71,0.96
1.74,1.96
2.89,1.68
0.39,3.59
3.49,5.60
6.91,2.30
3.11,8.81
4.35,6.46
6.60,2.97
9.80,7.05
9.77,2.56
3.58,3.27
7.25,9.63
8.51,8.51
8.63,5.13
0.79,3.03
6.04,8.53
8.44,7.73
3.76,5.81
0.08,0.24
2.26,0.79
3.14,0.07
5.60,7.44
0.36,8.87
7.93,0.51
9.44,0.13
4.47,8.84
0.13,5.67
0.86,9.35
8.23,5.04
7.68,3.12
3.74,7.71
0.28,0.35
2.60,3.59
8.15,4.78
9.41,7.40
8.24,5.11
7.55,0.79
0.34,2.29
3.91,9.23
1.14,0.53
5.55,1.04
8.58,4.44
1.16,3.68
3.70,5.00
7.61,0.86
5.34,4.08
5.96,1.05
9.25,5.96
2.46,9.01
4.98,5.31
1.84,4.15
6.04,9.33
7.42,1.22
7.83,2.62
8.34,7.78
8.93,4.49
8.60,6.31
3.51,7.80
8.89,5.35
0.44,2.27
4.94,5.19
0.69,3.61
1.85,2.67
6.64,4.84
3.00,4.10
2.92,0.32
8.31,6.39
7.80,5.62
1.80,4.77
7.05,8.03
8.19,4.10
2.21,0.79
5.15,0.95
5.30,1.26
9.32,3.49
3.95,1.10
3.55,0.23
6.82,4.39
1.45,2.99
0.01,3.86
5.21,2.48
7.86,7.69
3.52,9.14
6.21,1.22
8.73,1.53
8.07,7.21
0.53,7.54
4.17,0.59
0.48,8.12
0.99,4.79
4.95,0.67
5.68,5.30
0.59,0.73
0.04,1.20
0.16,9.45
0.56,1.47
0.49,2.93
3.80,9.96
3.67,7.44
6.08,4.82
0.58,2.44
5.56,1.52
1.68,4.58
8.79,8.68
3.47,3.46
0.03,0.53
4.97,3.25
7.75,4.61
1.82,1.22
5.59,1.27
3.52,2.92
2.06,6.86
2.12,3.06
9.43,9.84
2.21,7.52
4.71,3.21
6.63,4.28
6.53,6.64
5.15,5.89
3.06,6.99
6.32,4.94
3.12,1.17
3.68,9.69
8.18,4.74
5.98,3.22
7.98,1.01
0.79,7.10
7.70,9.80
6.25,6.26
6.85,8.68
7.37,5.89
1.23,9.91
7.44,4.61
7.67,4.61
3.85,2.66
4.06,3.00
1.27,6.97
4.64,4.74
6.20,1.29
4.28,4.94
8.84,1.19
8.32,1.51
7.68,9.61
0.24,0.59
6.28,1.66
6.01,5.21
2.31,2.68
3.88,2.00
2.20,2.40
6.60,8.08
3.47,6.19
8.44,1.61
6.98,9.94
2.00,0.98
7.24,3.20
1.07,2.99
6.80,4.26
8.36,2.34
7.06,2.83
6.64,6.06
8.73,2.03
4.28,5.34
3.22,8.08
5.49,1.08
7.69,4.31
0.94,0.71
1.32,0.36
6.44,4.78
3.39,4.00
2.91,8.13
3.14,7.59
0.82,9.99
4.90,7.78
6.34,3.43
3.33,3.36
9.14,3.41
7.63,6.06
8.02,6.89
2.76,5.77
9.17,2.94
0.88,0.80
3.68,9.27
6.98,2.73
6.12,8.68
3.32,9.08
3.90,8.55
6.61,4.45
8.54,5.28
8.04,7.67
5.28,2.16
0.02,2.20
8.51,3.79
5.38,1.29
7.02,0.32
9.64,6.79
1.50,3.12
6.54,8.43
9.71,1.84
8.99,7.16
1.29,7.70
6.44,2.74
6.61,1.20
7.33,7.91
7.32,5.09
5.31,2.48
1.58,6.95
7.93,5.04
9.24,8.91
7.20,0.60
0.61,2.57
0.50,5.18
7.77,8.66
0.27,3.29
7.12,7.08
9.01,1.17
8.63,4.53
9.38,2.64
7.78,2.35
3.35,0.54
5.35,8.93
7.38,7.93
0.86,2.91
7.71,2.64
8.66,1.27
8.31,5.05
7.03,0.60
1.57,8.91
0.26,5.02
1.32,5.48
8.47,9.64
2.65,7.68
9.88,0.00
4.22,9.56
4.36,4.65
2.81,5.48
3.58,2.76
7.26,3.84
5.37,9.32
5.96,6.22
8.06,1.38
8.14,4.27
3.02,5.17
8.12,9.92
5.07,7.38
2.96,1.14
8.13,2.02
2.25,2.29
9.08,1.14
10.00,2.95
3.69,1.39
1.53,9.49
0.24,1.55
7.99,6.12
7.01,8.64
4.64,0.45
6.69,5.44
0.82,0.07
6.93,7.15
2.63,1.75
9.11,0.98
8.27,0.79
7.74,7.54
7.90,3.00
9.68,3.58
7.31,0.05
8.52,5.31
5.98,9.36
1.37,7.38
6.73,7.18
7.77,4.79
0.26,5.17
7.68,0.43
9.13,8.65
3.17,5.73
7.51,7.70
9.87,0.87
8.39,5.98
1.49,7.86
0.87,1.20
6.87,4.40
5.25,2.53
2.06,2.50
5.94,6.85
1.88,8.98
7.47,2.77
9.87,5.22
4.19,3.76
8.57,4.52
4.40,8.25
2.22,1.75
