-4.12,-0.36,0.79,-2.08
3.35,-1.42,-4.11,0.18
-2.48,-1.93,3.02,2.48
0.07,2.69,0.59,-2.09
1.10,0.38,1.98,4.23
-2.19,-4.20,-3.13,-0.78
3.45,-2.08,-3.81,-0.97
-1.97,3.33,-3.07,-1.88
-1.21,-3.07,-0.49,3.46
0.20,-1.71,4.48,-3.97
0.28,2.12,-2.72,-0.23
-2.69,2.72,2.45,-0.33
-3.84,-1.38,0.64,-3.85
2.45,0.26,4.94,-1.04
0.80,1.60,1.76,4.08
1.30,-1.44,-2.64,-2.73
-0.78,-0.48,4.19,2.06
4.04,-0.44,0.47,3.03
2.49,4.66,-1.99,-1.68
-4.40,-1.96,-3.28,-0.61
-3.24,4.11,-1.42,0.56
-3.45,0.91,-0.65,-3.95
-0.65,-3.51,-1.78,3.03
0.50,0.38,-3.88,2.29
-3.56,-4.11,-3.62,2.84
0.26,-3.18,-0.98,-3.67
2.20,3.68,2.18,2.28
-1.20,0.34,1.04,2.63
2.70,1.37,2.29,-3.86
2.18,-0.31,3.28,3.17
4.56,-2.98,3.80,1.99
-1.82,-0.51,1.64,-4.51
3.32,-1.20,-0.73,0.41
4.86,4.18,-1.97,4.65
0.53,2.64,1.98,-4.98
-4.94,0.71,-2.64,-4.44
4.74,3.22,1.46,3.03
-4.07,4.93,3.92,-2.68
-1.43,2.62,0.92,-3.13
2.62,3.49,-0.67,1.27
3.58,2.81,-3.09,4.97
0.91,2.94,4.67,0.70
2.17,-3.96,-0.11,-0.29
-1.13,-0.16,0.64,-2.87
1.27,-0.23,-3.61,-0.52
0.12,-3.33,-4.36,-3.58
-2.90,1.48,4.79,2.50
-2.86,4.56,-1.71,-2.46
0.85,-1.72,-1.82,-0.52
-1.50,-3.11,0.98,-1.89
-4.86,-2.00,2.19,3.64
-3.12,1.22,1.97,3.07
3.90,-4.60,1.43,0.79
-4.72,2.21,1.16,2.37
1.26,0.99,3.55,-3.31
2.16,-4.53,4.72,4.17
-3.33,4.47,2.38,-3.00
-3.77,3.90,4.07,4.83
-4.63,-2.72,3.44,-3.23
0.01,-1.00,-4.18,-1.81
-3.98,0.93,-1.43,-0.59
-1.61,-4.67,-0.84,3.12
0.03,-4.58,3.57,1.03
0.75,-4.10,-3.09,-2.00
-2.39,1.82,3.67,-2.97
-1.10,1.93,0.40,0.98
1.49,3.72,3.08,1.67
2.92,-4.68,-4.15,3.78
4.95,1.14,3.38,0.60
4.19,-2.77,-1.16,-1.29
3.14,4.29,2.16,-1.75
3.39,2.94,-2.37,1.29
3.97,3.72,-0.54,-4.49
-0.70,-2.97,-0.53,-3.18
-1.88,-0.00,-0.72,-3.16
-2.07,1.80,-0.69,0.74
1.48,0.02,-0.86,2.85
4.07,-4.24,-1.65,4.21
1.38,2.51,-4.25,-1.74
2.21,0.02,4.80,1.38
-0.31,-4.41,0.05,-0.51
-1.83,-4.63,-0.75,1.31
-2.18,0.08,-4.32,-2.07
2.04,1.30,-2.95,-3.74
-1.32,-2.60,1.76,-1.39
1.12,-0.66,-3.97,-3.62
4.02,-4.41,3.31,-4.71
-4.21,3.94,4.15,-2.19
4.74,0.61,3.58,-3.39
1.03,2.83,-1.38,3.53
-3.93,4.65,-3.97,0.61
3.31,2.21,3.65,4.33
0.84,1.29,-2.83,-4.76
-3.60,1.87,1.64,-0.85
1.34,2.20,-1.74,-0.51
