2.96,4.48,1
6.06,9.30,0
5.00,9.19,1
1.31,4.00,1
6.41,3.46,0
4.79,1.66,1
8.12,7.74,0
2.46,7.99,0
6.15,1.68,0
4.68,2.76,0
7.86,4.97,1
2.35,9.72,0
8.84,8.96,1
3.18,4.70,0
4.49,3.31,1
8.46,9.02,1
7.54,8.90,0
3.68,7.65,1
3.48,3.04,0
9.35,1.86,0
3.73,5.10,1
3.42,1.57,1
4.56,7.03,1
8.38,4.11,0
2.18,5.63,0
7.00,5.34,0
8.39,2.47,0
3.31,4.75,0
6.65,1.94,0
8.39,2.03,0
5.68,2.39,1
9.44,3.32,0
2.33,4.35,0
4.78,3.93,1
3.21,8.06,0
6.86,5.25,1
2.51,2.35,1
2.26,2.40,1
7.98,8.20,1
2.29,5.43,0
7.30,5.83,0
6.18,2.14,0
2.48,1.85,0
5.94,6.80,1
4.83,5.05,0
1.24,6.71,0
5.50,5.32,0
5.38,6.02,0
9.11,7.95,0
7.10,8.37,0
3.33,6.93,1
5.37,1.46,1
9.06,4.76,1
9.83,8.78,0
6.56,5.46,0
2.20,3.67,1
3.37,8.89,1
4.88,3.89,1
1.17,1.55,0
7.44,7.01,1
2.33,2.33,1
7.21,3.69,0
6.80,4.75,0
8.74,7.61,0
8.88,9.11,1
8.99,6.59,0
7.77,5.08,1
4.78,7.03,0
7.30,5.30,0
2.11,4.23,0
5.44,2.20,1
9.03,8.32,0
3.59,1.35,0
8.84,4.14,1
9.58,1.12,0
9.45,9.04,0
6.27,2.42,0
8.57,6.58,0
2.86,7.76,0
7.33,9.78,0
3.01,3.74,1
4.29,5.18,1
4.12,7.42,1
1.67,8.53,0
9.62,3.12,1
8.74,1.05,1
3.52,8.85,1
7.28,1.40,1
8.35,4.33,1
5.88,9.70,1
3.69,8.54,1
4.03,7.84,1
4.61,6.08,0
8.56,2.56,0
4.60,1.63,1
1.21,1.49,1
4.96,6.22,0
2.10,6.26,0
6.44,3.87,0
7.28,3.85,0
2.26,7.27,0
2.90,4.71,0
8.22,6.25,1
5.98,4.01,1
3.37,1.38,1
3.84,8.59,1
8.46,4.00,0
3.27,4.29,1
3.84,5.96,1
8.08,3.94,0
1.43,7.77,1
1.51,4.48,1
2.87,7.91,0
6.79,6.98,1
9.02,6.59,0
9.70,5.49,0
2.69,1.20,1
8.95,5.11,1
